date,symbol,category,rank,value
2026-06-05,KHPL,gainer,1,14.99
2026-06-05,NYADI,gainer,2,9.16
2026-06-05,SBIBD86,gainer,3,7.21
2026-06-05,NICD88,gainer,4,5.8
2026-06-05,NBLD85,gainer,5,5.77
2026-06-05,EBLD86,gainer,6,5.42
2026-06-05,NMBD87/88,gainer,7,5.31
2026-06-05,CFCL,gainer,8,4.78
2026-06-05,PBD85,gainer,9,4.7
2026-06-05,BOKD86,gainer,10,4.2
2026-06-06,KHPL,gainer,1,15
2026-06-06,ULBSL,gainer,2,9.71
2026-06-06,LBLD88,gainer,3,7.7
2026-06-06,BFC,gainer,4,7.55
2026-06-06,CITY,gainer,5,7.06
2026-06-06,RLFL,gainer,6,6.25
2026-06-06,NBBD2085,gainer,7,6.19
2026-06-06,NCCD86,gainer,8,4.72
2026-06-06,PFL,gainer,9,4.28
2026-06-06,CSY,gainer,10,3.3
