date,symbol,category,rank,value
2026-06-05,VLBS,loser,1,-4.69
2026-06-05,BGWT,loser,2,-4.27
2026-06-05,HFIN,loser,3,-3.66
2026-06-05,AKJCL,loser,4,-3.43
2026-06-05,KKHC,loser,5,-3.26
2026-06-05,NMIC,loser,6,-3.13
2026-06-05,KBSH,loser,7,-3
2026-06-05,LVF2,loser,8,-2.82
2026-06-05,HEI,loser,9,-2.73
2026-06-05,GRDBL,loser,10,-2.71
2026-06-06,SBLD84,loser,1,-4.92
2026-06-06,HFIN,loser,2,-4.22
2026-06-06,MABEL,loser,3,-4.17
2026-06-06,RLEL,loser,4,-3.83
2026-06-06,RBCLPO,loser,5,-3.72
2026-06-06,NIMBPO,loser,6,-3.51
2026-06-06,SKHEL,loser,7,-2.99
2026-06-06,NBF2,loser,8,-2.99
2026-06-06,SAIL,loser,9,-2.85
2026-06-06,SDBD87,loser,10,-2.82
