date,symbol,category,rank,value
2026-06-05,EBLD86,turnover,1,"340,153,074.30"
2026-06-05,AKJCL,turnover,2,"320,564,333.30"
2026-06-05,CFCL,turnover,3,"185,265,984.40"
2026-06-05,NRIC,turnover,4,"171,989,587.80"
2026-06-05,SAPDBL,turnover,5,"144,706,018.70"
2026-06-05,RIDI,turnover,6,"140,978,846.40"
2026-06-05,NICL,turnover,7,"104,544,813.60"
2026-06-05,BHCL,turnover,8,"84,618,321.70"
2026-06-05,API,turnover,9,"83,071,719.80"
2026-06-05,NHPC,turnover,10,"77,615,421.10"
2026-06-06,AKJCL,turnover,1,"556,906,427.30"
2026-06-06,CITY,turnover,2,"195,999,747.90"
2026-06-06,NBBD2085,turnover,3,"188,620,553.00"
2026-06-06,CFCL,turnover,4,"185,026,283.90"
2026-06-06,RIDI,turnover,5,"151,680,315.10"
2026-06-06,RSML,turnover,6,"150,858,231.70"
2026-06-06,BFC,turnover,7,"135,004,045.30"
2026-06-06,EBLD86,turnover,8,"126,159,499.00"
2026-06-06,RLFL,turnover,9,"99,679,714.30"
2026-06-06,MFIL,turnover,10,"96,054,740.20"
